location,Basel
lat,47.54694
lon,7.56892
asl,283.697
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
20100204T0700,-0.5394713
20100204T0800,-1.1394713
20100204T0900,-1.6694714
20100204T1000,0.14052865
20100204T1100,2.8105285
20100204T1200,5.0705285
20100204T1300,6.9005284
20100204T1400,8.060529
20100204T1500,8.700529
20100204T1600,9.030529
20100204T1700,8.980529
20100204T1800,8.350529
20100204T1900,6.9605284
20100204T2000,5.6505284
20100204T2100,5.1005287
20100204T2200,5.3005285
20100204T2300,5.7605286
20100205T0000,5.3905287
20100205T0100,5.1505284
20100205T0200,4.8905287
20100205T0300,4.9905286
20100205T0400,5.290529
20100205T0500,5.6705284
20100205T0600,2.3305285
20100205T0700,2.2505286
20100205T0800,2.3005285
20100205T0900,2.2405286
20100205T1000,2.4605286
20100205T1100,2.6405284
20100205T1200,3.5505285
20100205T1300,4.9405284
20100205T1400,6.7705283
20100205T1500,7.4705286
20100205T1600,7.3805285
20100205T1700,7.6205287
20100205T1800,7.9205284
20100205T1900,6.4505286
20100205T2000,5.6105285
20100205T2100,5.6005287
20100205T2200,5.3505287
20100205T2300,5.2105284
20100206T0000,5.3105288
20100206T0100,5.0305285
20100206T0200,4.6605287
20100206T0300,4.3405285
20100206T0400,3.8805285
20100206T0500,2.9705286
20100206T0600,3.8105285
20100206T0700,3.8705285
20100206T0800,2.7605286
20100206T0900,1.8105286
20100206T1000,1.9805287
20100206T1100,3.6905286
20100206T1200,5.4905286
20100206T1300,5.1205287
20100206T1400,4.6605287
20100206T1500,5.5905285
20100206T1600,6.7405286
20100206T1700,7.2005286
20100206T1800,6.7205286
20100206T1900,5.6605287
20100206T2000,4.3705287
20100206T2100,3.7705286
20100206T2200,3.7305286
20100206T2300,3.9805286
20100207T0000,3.8605285
20100207T0100,3.4605286
20100207T0200,3.4905286
20100207T0300,3.5605285
20100207T0400,2.9705286
20100207T0500,2.1005285
20100207T0600,1.5005287
20100207T0700,1.1505287
20100207T0800,0.97052866
20100207T0900,0.8805287
20100207T1000,1.1205287
20100207T1100,1.9305286
20100207T1200,3.1605287
20100207T1300,3.5605285
20100207T1400,3.8005285
20100207T1500,4.6605287
20100207T1600,5.2105284
20100207T1700,5.3305287
20100207T1800,5.0805287
20100207T1900,4.1905284
20100207T2000,3.0005286
20100207T2100,2.3305285
20100207T2200,1.2005286
20100207T2300,0.31052867
20100208T0000,-0.11947135
20100208T0100,0.44052866
20100208T0200,0.26052865
20100208T0300,-0.48947132
20100208T0400,-0.77947134
20100208T0500,-1.5194713
20100208T0600,-1.7494713
20100208T0700,-3.1394715
20100208T0800,-2.7694714
20100208T0900,-2.1694715
20100208T1000,-1.3494713
20100208T1100,0.37052867
20100208T1200,1.3005286
20100208T1300,2.4605286
20100208T1400,3.5105286
20100208T1500,4.1205287
20100208T1600,4.6505284
20100208T1700,4.8805285
20100208T1800,4.6605287
20100208T1900,4.0305285
20100208T2000,2.3305285
20100208T2100,0.74052864
20100208T2200,0.48052865
20100208T2300,1.0105287
20100209T0000,1.9105287
20100209T0100,2.7105286
20100209T0200,2.0805285
20100209T0300,1.7105286
20100209T0400,0.6405287
20100209T0500,0.93052864
20100209T0600,-1.9494714
20100209T0700,-1.6194713
20100209T0800,-1.6994714
20100209T0900,-1.8994713
20100209T1000,-0.82947135
20100209T1100,0.55052865
20100209T1200,2.3305285
20100209T1300,3.7805285
20100209T1400,4.8105288
20100209T1500,5.2805285
20100209T1600,5.3705287
20100209T1700,5.4705286
20100209T1800,5.0905285
20100209T1900,4.1605287
20100209T2000,3.3505285
20100209T2100,2.7505286
20100209T2200,2.2205286
20100209T2300,1.9605286
20100210T0000,1.3305286
20100210T0100,0.23052865
20100210T0200,-0.7494713
20100210T0300,-1.0994713
20100210T0400,-1.6394713
20100210T0500,-1.9494714
20100210T0600,-3.3394713
20100210T0700,-3.6994715
20100210T0800,-4.1794715
20100210T0900,-4.6294713
20100210T1000,-4.4994717
20100210T1100,-4.3294716
20100210T1200,-3.5894713
20100210T1300,-2.8894715
20100210T1400,-2.2594714
20100210T1500,-1.8994713
20100210T1600,-1.7894714
20100210T1700,-1.9594713
20100210T1800,-2.5594714
20100210T1900,-2.9894714
20100210T2000,-3.2694714
20100210T2100,-3.1794715
20100210T2200,-2.9194715
20100210T2300,-3.8394713
20100211T0000,-3.7594714
20100211T0100,-3.7894714
20100211T0200,-3.8794715
20100211T0300,-3.8294713
20100211T0400,-4.3194714
20100211T0500,-3.9994717
20100211T0600,-6.4194713
20100211T0700,-5.9294715
20100211T0800,-5.7794714
20100211T0900,-4.9194713
20100211T1000,-4.209471
20100211T1100,-2.8094714
20100211T1200,-2.1194715
20100211T1300,-1.8194714
20100211T1400,-1.1594714
20100211T1500,-1.0394714
20100211T1600,0.020528657
